OrderID,Date,Category,Product,Region,Quantity,Price,Customer
1001,2024-01-05,Electronics,Laptop,North,1,1200,Alice
1002,2024-01-07,Electronics,Phone,South,2,800, bob
1003,01/09/2024,Furniture,Chair,East,4,150,Charlie
1004,2024-01-12,Furniture,Desk,West,1,300,Diana
1005,2024-01-15,Electronics,Phone,North,,800,Eve
1006,2024-01-15,Electronics,Phone,North,,800,Eve
1007,2024-01-20,Clothing,Shirt,south,3,25,Frank
1008,2024-02-01,Clothing,Pants,East,2,40,Grace
1009,2024-02-05,Electronics ,Laptop,N/A,1,1200,Henry
1010,2024-02-10,Furniture,Chair,East,2,150,
1011,2024-02-15,Clothing,Shirt,West,5,25,Ivy
1012,2024-02-18,Electronics,Tablet,North,1,500,Jack
1013,2024-02-20,Furniture,Desk,South,1,300,Karen
1014,2024-02-22,Clothing,Pants,East,2,40,Leo
1015,2024-03-01,Electronics,Phone,North,3,800,Mia
1016,2024-03-05,Electronics,Phone,North,3,800,Mia
1017,03/10/2024,Furniture,Chair,West,2,150,Nina
1018,2024-03-15,Clothing,Shirt,South,4,25,Oscar
1019,2024-03-20,Electronics,Tablet,East,2,500,Paul
1020,2024-03-25,Furniture,Desk,North,1,,Quinn
